,table,,table,,page,
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1107,,"RIVER SEONATH AT U/S
RAJNANDGAON,
CHHATISGARH.",CHATTISGARH,,23.0,
1266,,"RIVER SEONATH AT SHIMGA
AFTER CONFL. WITH R.
KHAROON, CHHATISGARH.",CHATTISGARH,,22.0,
1845,,"RIVER SEONATH WATER
SUPPLY WELL, DURG,
CHHATISGARH.",CHATTISGARH,,24.0,
3166,,"RIVER SEONATH AT JHINGHRI
VILLAGE, A/C OF SAMODA
NALLA, CHHATISGARH.",CHATTISGARH,,24.0,
3167,,"RIVER SEONATH AT
RAJNANDGAON, D/S AT
MOHAD, RAJNANDGAON,
CHHATISGARH.",CHATTISGARH,,22.0,
2403,,"RIVER BHEDEN BEFORE
CONFLUENCE WITH IB RIVER",ODISHA,,18.0,
1265,,"RIVER KHAROON AT RAIPUR
U/S, CHHATISGARH.",CHATTISGARH,,22.0,
1846,,"RIVER KHAROON A/C KHAPRI
DRAIN, CHHATISGARH.",CHATTISGARH,,22.0,
1847,,"RIVER KHAROON B/C KHAPRI
DRAIN, DURG, RAIPUR ROAD
BRIDGE, CHHATISGARH.",CHATTISGARH,,22.0,
1853,,"RIVER KHAROON BUNDRI,
RAIPUR, CHHATISGARH.",CHATTISGARH,,22.0,
1105,,"RIVER HASDEO AT U/S KORBA,
CHHATISGARH.",CHATTISGARH,,25.5,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1106,,"RIVER HASDEO AT U/S OF
CHAMPA, CHHATISGARH.",CHATTISGARH,,21.5,
3165,,"RIVER HASDEO 100 METER
DOWNSTREAM AFTER
CONFLUENCE OF DENGUR
NALLAH NERA C.S.E.B. EAST
GUEST HOUSE, KORBA,
CHHATISGARH.",CHATTISGARH,,25.5,
3169,,"RIVER HASDEO AT DRINKING
WATER INTAKE WELL OF
MUNICIPAL CO. KORBA
(BEFORE TREATMENT) AT
KOHADIA VILLAGE,
CHHATISGARH.",CHATTISGARH,,25.5,
3170,,"RIVER HASDEO AT DRINKING
WATER INTAKE WELL OF
MUNICIPAL CO. KORBA (AFTER
TREATMENT) AT KOHADIA
VILLAGE, CHHATISGARH.",CHATTISGARH,,25.6,
1267,,RIVER IB AT SUNDARGARH,ODISHA,,19.0,
1268,,"RIVER IB AT JHARSUGUDA
(INTAKE)",ODISHA,,20.0,
1269,,"RIVER IB AT BRAJARAJNAGAR
(INTAKE) D/S",ODISHA,,17.0,
1300,,"RIVER IB AT BRAJARAJNAGAR
U/S",ODISHA,,18.0,
2409,,"RIVER SERUA AT CUTTACK FD/S
(SERUA) AT SANKHATRASA",ODISHA,,19.0,
1279,,"RIVER KUAKHAI AT
BHUBANESWAR U/S",ODISHA,,23.0,
1280,,"RIVER KUAKHAI AT
BHUBANESWAR D/S",ODISHA,,20.0,
2410,,"RIVER KUAKHAI AT
BHUBANESWAR FU/S",ODISHA,,20.0,
1640,,"RIVER BIRUPA AT CHOUDWAR
D/S",ODISHA,,19.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1848,,"RIVER ARPA D/S OF BILASPUR,
CHHATISGARH.",CHATTISGARH,,22.5,
1849,,"RIVER KELO U/S OF RAIGARH,
CHHATISGARH.",CHATTISGARH,,20.0,
1850,,"RIVER KELO D/S OF RAIGARH,
CHHATISGARH.",CHATTISGARH,,20.0,
2411,,"RIVER DAYA AT
BHUBANESWAR FD/S ( 2 KM
AFTER CONFLUENCE OF
GANGUA NALLAH WITH DAYA)",ODISHA,,22.0,
3894,,RIVER DAYA AT GELAPUR,ODISHA,,24.0,
3895,,RIVER DAYA AT KANAS,ODISHA,,24.0,
3891,,"RIVER KATHAJODI AT CUTTACK
U/S",ODISHA,,18.0,
1301,,"RIVER KATHAJODI AT CUTTACK
D/S",ODISHA,,19.0,
3892,,"RIVER KATHJODI AT CUTTACK
FD/S AT MATTAGAJPUR",ODISHA,,20.0,
3893,,"RIVER KATHJODI AT CUTTACK
FD/S AT KAMASASAN",ODISHA,,20.0,
3900,,"RIVER GOBARI AT
KENDRAPARA U/S",ODISHA,,23.0,
3901,,"RIVER GOBARI AT
KENDRAPARA D/S",ODISHA,,24.0,
3902,,RIVER DEVI AT MACCHGAON,ODISHA,,24.0,
3896,,"RIVER GANGUA NEAR
RAJDHANI ENGINEERING
COLLEGE",ODISHA,,22.0,
3897,,RIVER GANGUA AT PALASUNI,ODISHA,,22.0,
3898,,"RIVER GANGUA AT
SAMANTARAPUR",ODISHA,,24.0,
3899,,RIVER GANGUA AT VADIMULA,ODISHA,,20.0,
3903,,"RIVER KUSHABHADRA AT
BHINGARPUR",ODISHA,,21.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",,,"STATE
NAME",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3904,,"RIVER KUSHABHADRA AT
NIMAPARA",,,ODISHA,
3905,,RIVER KUSHABHADRA AT GOP,,,ODISHA,
3906,,"RIVER MANGALA AT PURI U/S
MALATIPATPUR",,,ODISHA,
3907,,"RIVER MANGALA AT PURI D/S
GOLASAHI",,,ODISHA,
3908,,"RIVER BHARGAVI AT
CHANDANPUR",,,ODISHA,
3909,,"RIVER KANSARI AT BANAPUR
ROAD NEAR
PURUSHOTTAMPUR",,,ODISHA,
3910,,"RIVER BADASANKHA NADI
NEAR LANGALESWAR",,,ODISHA,
3911,,"RIVER RATNACHIRA NAADI AT
KUMARADIHI",,,ODISHA,
3912,,RIVER NUNA NADI AT BIJIPUR,,,ODISHA,
3913,,"RIVER KUSUMI NADI NEAR
TANGI (LAXMIDHARA PUR)",,,ODISHA,
3914,,"RIVER SABULIA NADI NEAR
RAMBHA (AT
JAGANNATHPATNA)",,,ODISHA,
2412,,"RIVER SANKHA U/S ( D/S OF
MANDIRA DAM)",,,ODISHA,
3946,,RIVER BADA NADI AT ASIKA,,,ODISHA,
3949,,"RIVER BAHUDA AT
DAMODARPALLY",,,ODISHA,
2408,,,RIVER TEL (OVER ROAD BRIDGE,,ODISHA,
,,,"STATE HIGHWAY -41,",,,
,,,MANAMUNDA),,,
1455,,"RIVER RUSHIKULYA AT
GANJAM U/S (NEAR BABA
TOLEKESWAR TEMPLE,
KARAPADA) MADHOPUR",,,ODISHA,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1456,,"RIVER RUSHIKULYA AT
GANJAM D/S (NEAR
POTTAGARH PORT)",ODISHA,,13.0,
3945,,RIVER RUSHIKULYA AT ASIKA,ODISHA,,15.0,
3947,,"RIVER RUSHIKULYA AT
NALABANTA",ODISHA,,14.0,
3944,,"RIVER RUSSELKUNDA
RESERVOIR",ODISHA,,15.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1081,,RIVER BAITARNI AT JODA,ODISHA,,19.0,
1082,,"RIVER BAITARNI AT
ANANDPUR",ODISHA,,18.0,
1083,,RIVER BAITARNI AT JAJPUR,ODISHA,,20.0,
3935,,"RIVER BAITARNI AT
NAIGARH",ODISHA,,17.0,
3936,,"RIVER BAITARNI AT
UNCHABALI",ODISHA,,18.0,
1085,,"RIVER BAITARNI AT
DHAMRA",ODISHA,,21.0,
3938,,"RIVER BAITARNI AT
TRIBINDHA",ODISHA,,18.0,
3937,,"RIVER BAITARNI AT
CHAMPUA",ODISHA,,18.0,
1084,,"RIVER BAITARNI AT
CHANDBALI U/S",ODISHA,,21.0,
10018,,"RIVER BAITARNI AT
CHANDBALI D/S",ODISHA,,21.0,
3940,,"RIVER SALANDI AT BHADRAK
U/S",ODISHA,,20.0,
3941,,"RIVER SALANDI AT BHADRAK
D/S",ODISHA,,20.0,
2421,,"RIVER KUSEI BEFORE
JOINING WITH BAITARNI AT
ANANDPUR, DEOGAON",ODISHA,,19.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
1037,,"RIVER BRAHMANI AT U/S
PANPOSH",ODISHA,,19.0,
1038,,"RIVER BRAHMANI AT D/S
PANPOSH AT DEOGAN",ODISHA,,17.0,
1302,,"RIVER BRAHMANI AT
ROURKELA D/S AT JALDA",ODISHA,,18.0,
2414,,"RIVER BRAHMANI AT
ROURKELA FD/S AT
BIRITOLA",ODISHA,,18.0,
1039,,"RIVER BRAHMANI AT
BONAIGARH",ODISHA,,18.0,
1040,,"RIVER BRAHMANI AT
RENGALI",ODISHA,,21.0,
1041,,"RIVER BRAHMANI AT
SAMAL",ODISHA,,22.0,
2415,,"RIVER BRAHMANI AT
TALCHER FU/S (INTAKE
WELL OF MCL, TALCHER)",ODISHA,,22.0,
2416,,"RIVER BRAHMANI AT
TALCHER FD/S",ODISHA,,20.0,
1042,,"RIVER BRAHMANI AT
KAMALANGA (TALCHER
D/S)",ODISHA,,20.0,
2417,,"RIVER BRAHAMNI AT
DHENKANAL D/S,
DHENKANAL TOWN",ODISHA,,22.0,
1303,,"RIVER BRAHMANI AT
TALCHER U/S",ODISHA,,22.0,
1043,,"RIVER BRAHMANI AT
BHUBAN",ODISHA,,22.0,
2418,,"RIVER BRAHMANI AT
KABATABANDHA (BEFORE
IMPACT OF INDUSTRIAL
ACTIVITY IN
KALINGANAGAR AREA)",ODISHA,,21.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
10019,,"RIVER BRAHMANI AT
DHARAMSHALA U/S",ODISHA,,21.0,
1044,,"RIVER BRAHMANI AT
DHARMASHALA U/S",ODISHA,,21.0,
1045,,"RIVER BRAHMANI AT
PATTAMUNDAI",ODISHA,,23.0,
3916,,"RIVER BRAHMANI AT
ROURKELA FD/S AT
ATTAGHAT",ODISHA,,19.0,
3917,,"RIVER BRAHMANI AT
MANDAPAL",ODISHA,,21.0,
3918,,"RIVER BRAHMANI AT
DHENKANAL U/S",ODISHA,,22.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",,,"STATE
NAME",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2419,,"RIVER KHARASROTA AT
KHANDITARA (D/S OF
INDUSTRIAL ACTIVITIES AT
KALINGA NAGAR)",,,ODISHA,
2420,,RIVER KHARASROTA AT AUL,,,ODISHA,
3922,,"RIVER KHARASROTA AT
BINJHARPUR",,,ODISHA,
3921,,"RIVER KISINDAJHOR AT
KHARAGPRASAD",,,ODISHA,
3931,,"RIVER BANGURUSINGADA
JHOR",,,ODISHA,
1035,,"RIVER KARO AT LOHOJIMI
U/S, JHARKAND",,,JHARKHAND,
3915,,RIVER KARO AT BADBIL,,,ODISHA,
3924,,"RIVER BADAJHOR (AT
DHENKANAL)",,,ODISHA,
3933,,"RIVER DAMASALA AT
DAYANABIL",,,ODISHA,
3927,,RIVER TIKIRA AT KANIHA U/S,,,ODISHA,
3928,,RIVER TIKIRA AT KANIHA D/S,,,ODISHA,
3929,,"RIVER SINGDA JHOR
(TALCHER KANIHA ROAD
BRIDGE, BALANGI)",,,ODISHA,
3932,,"RIVER RAMIALA NEAR
KAMAKHYANAGAR",,,ODISHA,
3921,,,RIVER KISINDAJHOR AT,,ODISHA,
,,,KHARAGPRASAD,,,
1033,,"RIVER KOEL AT BASIA, DAM
U/S, JHARKHAND",,,JHARKHAND,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1036,,"RIVER KOEL AT
MANOHARPUR AFTER
MEETING KOINA RIVER D/S,
JHARKAND",JHARKHAND,,18.0,
2376,,"RIVER NORTH KOEL U/S
DALTANGANJ",JHARKHAND,,12.0,
2377,,"RIVER NORTH KOEL D/S
BCCL, REHLA",JHARKHAND,,12.0,
2413,,"RIVER KOEL U/S (AFTER
CONFLUENCE OF KARO)",ODISHA,,18.0,
3919,,"RIVER NANDIRA U/S AT
KUKUDANGA",ODISHA,,20.0,
3920,,"RIVER NANDIRA D/S AT
DASNALI",ODISHA,,21.0,
3925,,"RIVER LINGIRA U/S OF
ANGUL",ODISHA,,22.0,
3926,,"RIVER LINGIRA D/S OF
ANGUL",ODISHA,,22.0,
"STATIO
N CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATUR
E
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
12,,"RIVER GODAVARI AT
DHALEGAON, PATHARI,
PARBHANI",MAHARASHTRA,,16.0,
2360,,"RIVER GODAVARI AT
BASARA, ADILABAD",TELANGANA,,16.0,
2361,,"RIVER GODAVARI AT
MANCHERIAL, NEAR RLY
BDG B/C OF RALLAVAGU",TELANGANA,,27.0,
13,,"RIVER GODAVARI AT
MANCHERIAL",TELANGANA,,26.0,
2362,,"RIVER GODAVARI AT
RAMAGUNDAM D/S, NEAR
FCI INTAKE WELL,
KARIMNAGAR",TELANGANA,,27.0,
2363,,"RIVER GODAVARI AT
GODAVARIKHANI, NEAR
BATHING GHAT,
KARIMNAGAR",TELANGANA,,26.0,
2364,,"RIVER GODAVARI AT
RAMAGUNDAM U/S ,
KARIMNAGAR",TELANGANA,,27.0,
2365,,"RIVER GODAVARI AT
KAMALPUR U/S M/S AP
RAYONS LTD. INTAKE WELL,
WARANGAL",TELANGANA,,28.0,
2366,,"RIVER GODAVARI AT
KAMALPUR D/S AT M/S. AP
RAYONS LTD. DISCHARGE
POINT, WARANGAL",TELANGANA,,27.0,
2367,,"RIVER GODAVARI AT
BHADRACHALAM U/S
BATHING GHAT, KHAMMAM",TELANGANA,,25.0,
2369,,"RIVER GODAVARI AT
BURGAMPAHAD,
KHAMMAM",TELANGANA,,24.0,
"STATIO
N CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATUR
E
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4227,,"RIVER GODAVARI- POCHERA
WATER FALLS, POCHERA (V),
BOATH (M), ADILABAD (D)",TELANGANA,,18.0,
2368,,"RIVER GODAVARI AT
BHADRACHALAM D/S
BATHING GHAT, KHAMMAM",TELANGANA,,25.0,
2356,,"RIVER GODAVARI, D/S OF
RAMANUGUNDAM,
MANTHANI",TELANGANA,,25.0,
4662,,"RIVER GODAVARI AT
KALESHWARAM, 500
MTS.BEFORE BATHING
GHAT",TELANGANA,,27.0,
1218,,"RIVER GODAVARI AT
RAJAHMUNDRY U/S,
KUMARADEVAM, EAST
GODAVARI","ANDHRA
PRADESH",,22.0,
1219,,"RIVER GODAVARI AT
RAJAHMUNDRY D/S,
DHAVALESWARAM, EAST
GODAVARI","ANDHRA
PRADESH",,24.0,
2370,,"RIVER GODAVARI AT
RAJAMUNDRY U/S OF
NALLA CHANNEL, EAST
GODAVARI DISTRICT","ANDHRA
PRADESH",,22.0,
2371,,"RIVER GODAVARI AT
RAJAMUNDRY D/S OF
NALLA CHANNEL, EAST
GODAVARI DISTRICT","ANDHRA
PRADESH",,25.0,
4359,,"RIVER GODAVARI AFTER
CONFLUENCE WITH SABARI
TRIBUTARY, (KUNAVARAM)
AT WADDIGUDEM(V) V.R.
PURAM (M)","ANDHRA
PRADESH",,24.0,
30049,,"RIVER GODAVARI AT
BELUR,DHARMADABAD,
NANDED (MAHARSHTRA)",MAHARASHTRA,,22.0,
"STATIO
N CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATUR
E
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
30051,,"RIVER GODAVARI AT
BASER(BANGALORE)",KARNATAKA,,-,
4367,,"RIVER GODAVARI
KOUNDINYA MUKTHI (V),
KUKUNUR (M), BORDER
POINT BETWEEN ANDHRA
PRADESH & TELANGANA
STATES",ANDHRA,,24.0,
14,,"RIVER GODAVARI AT
POLAVARAM, WEST
GODAVARI DISTRICT","ANDHRA
PRADESH",,24.0,
1095,,"RIVER GODAVARI AT U/S OF
GANGAPUR DAM, NASHIK",MAHARASHTRA,,17.0,
1096,,"RIVER GODAVARI AT
PANCHAVATI AT
RAMKUND,NASHIK",MAHARASHTRA,,17.0,
1209,,"RIVER GODAVARI AT RAHER,
NAYAGAON, NANDED",MAHARASHTRA,,18.0,
1210,,"RIVER GODAVARI AT
VISHNUPURI,NANDED,
NANDED",MAHARASHTRA,,18.0,
1211,,"RIVER GODAVARI AT NASIK
D/S, GADGEBABA MAHARAJ
NAGAR, NASHIK",MAHARASHTRA,,17.0,
2177,,"RIVER GODAVARI NEAR
SOMESHWAR TEMPLE,
SOMESHWAR, NASHIK",MAHARASHTRA,,17.0,
2179,,"RIVER GODAVARI AT
HANUMAN GHAT, NASHIK
CITY, NASHIK",MAHARASHTRA,,17.0,
2180,,"RIVER GODAVARI AT
TAPOVAN, TAPOVAN,
NASHIK",MAHARASHTRA,,17.0,
2181,,"RIVER GODAVARI AT
KAPILA- GODAVARI
CONFLUENCE POINT,
TAPOVAN, NASHIK",MAHARASHTRA,,17.0,
"STATIO
N CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATUR
E
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2182,,"RIVER GODAVARI AT
SAIKHEDA, NIPHAD, NASHIK",MAHARASHTRA,,17.0,
2183,,"RIVER GODAVARI AT
NANDUR- MADMESHWAR
DAM, NANDUR, NASHIK",MAHARASHTRA,,17.0,
2157,,"RIVER GODAVARI AT LATUR
WATER INTAKE NEAR PUMP
HOUSE AT DHAMEGAON,
KALUMB, OSMANABAD",MAHARASHTRA,,18.0,
2158,,"RIVER GODAVARI AT U/S OF
PAITHAN AT PAITHAN
INTAKE PUMP HOUSE AT
JAYAKWADI, PAITHAN,
AURANGABAD",MAHARASHTRA,,16.0,
2159,,"RIVER GODAVARI AT D/S OF
PAITHAN AT PATHEGAON
BRIDGE, PATHEGAON,
PAITHAN, AURANGABAD",MAHARASHTRA,,17.0,
2160,,"RIVER GODAVARI AT U/S OF
AURANGABAD RESERVOIR,
KAIGAON TOKKA NEAR
KAIGAON BRIDGE,KAIGAON,
GANGAPUR, AURANGABAD",MAHARASHTRA,,18.0,
2161,,"RIVER GODAVARI AT JALNA
INTAKE WATER PUMP
HOUSE, SHAHABAD,
AMBAD, JALNA",MAHARASHTRA,,19.0,
1312,,"RIVER GODAVARI AT
JAYAKWADI DAM,
PAITHAN,AURANAGABAD",MAHARASHTRA,,16.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED UNDER,,,,,
,"E(P) RULES, 1986",,,,,
1854,,"RIVER INDRAVATI A/C
DANTEWADA RIVER, NELSONNAR,
DANTEWADA, CHHATISGARH.",CHATTISGARH,,28.0,
1855,,"RIVER INDRAVATI B/C GODAVARI
AT BHOPALPATNAM,
DANTEWADA, CHHATISGARH.",CHATTISGARH,,27.0,
3948,,"RIVER INDRAVATI AT
NAWARANGPUR",ODISHA,,18.0,
30062,,"RIVER INDRAVATI AT
NOWRANGPUR (ODISHA)",ODISHA,,25.0,
1856,,"RIVER SHANKNI A/C DANKANI
RIVER DANTEWADA,
CHHATISGARH.",CHATTISGARH,,27.0,
2374,,"RIVER MANJEERA AT
GOWDICHARLA B/C WITH
NAKKAVAGU",TELANGANA,,20.0,
2375,,"RIVER MANJEERA AT
GOWDICHARLA A/C WITH
NAKKAVAGU",TELANGANA,,20.0,
1781,,"RIVER MANJEERA - NEAR
GANAPATHI SUGARS , MEDAK
DIST.",TELANGANA,,21.0,
1157,,RIVER MANJEERA AT RAIPALLY,TELANGANA,,22.0,
1891,,"RIVER MANJEERA AT D/S IN
INTAKE POINT TO BIDAR CITY",KARNATAKA,,26.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED UNDER,,,,,
,"E(P) RULES, 1986",,,,,
2673,,"RIVER MANJEERA AT D/S OF LATUR
NEAR LATUR-NANDED BRIDGE,
BHATKHEDA, LATUR, LATUR",MAHARASHTRA,,19.0,
4226,,"RIVER MANJEERA AT YEDU PAYALA
TEMPLE, MEDAK",TELANGANA,,25.0,
30055,,"RIVER MANJEERA AT
JANWADA(BANGALORE)",KARNATAKA,,-,
4258,,"RIVER SINGUR DAM RESERVOIR,
SANGAREDDY",TELANGANA,,21.0,
1215,,"RIVER MANER AT WARANGAL U/S
(MANERU AT THUMMALA
CHERUVU/MADANNAPET)",TELANGANA,,27.0,
1158,,RIVER MANER AT SOMNAPALLI,TELANGANA,,25.0,
2372,,"RIVER KINNERASANI A/C OF KTPS
ASH POND EFFLUENTS, KHAMMAM",TELANGANA,,22.0,
2373,,"RIVER SABARI AT KUNAVARAM,
KHAMMAM","ANDHRA
PRADESH",,20.0,
3080,,"RIVER KARAKAVAGU U/S AT
PALONCHA, KHAMMAM",TELANGANA,,21.0,
3081,,"RIVER KARAKAVAGU D/S AT
PALONCHA, KHAMMAM",TELANGANA,,23.5,
30059,,"RIVER WARDHA AT BANGON
VILLAGE NEAR PANDHURNA (M.P.)","MADHYA
PRADESH",,20.0,
1212,,"RIVER WARDHA AT RAJURA
BRIDGE,RAJURA, CHANDRAPUR,
CHANDRAPUR",MAHARASHTRA,,24.0,
2156,,"RIVER WARDHA AT CONFLUENCE
POINT OF PENGANGA & WARDHA
AT JUGAD, WANI, YAVATMAL",MAHARASHTRA,,22.0,
2174,,"RIVER WARDHA D/S OF ACC
GHUGGUS, CHANDRAPUR,
CHANDRAPUR",MAHARASHTRA,,23.0,
2700,,"RIVER PURNA NEAR ACHALPUR-
AMRAVATI ROAD BRIDGE,
ASEGAON, CHANDUR BAZAR,
AMRAVATI",MAHARASHTRA,,18.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED UNDER,,,,,
,"E(P) RULES, 1986",,,,,
2660,,"RIVER DARNA AT CHEHEDI
PUMPING STATION, CHEHEDI,
NASHIK, NASHIK",MAHARASHTRA,,17.0,
2661,,"RIVER DARNA AT ASWALI (DARNA
DAM), LGATPURI, NASHIK",MAHARASHTRA,,17.0,
2662,,"RIVER DARNA AT MES SITE
PUMPING STATION, BHAGUR,
NASHIK",MAHARASHTRA,,17.0,
2663,,"RIVER DARNA AT BHAGUR
PUMPING STATION NEAR
PANDHURLI BRIDGE, BHAGUR,
NASHIK",MAHARASHTRA,,17.0,
2664,,"RIVER DARNA AT SANSARI ,
NASHIK, NASHIK",MAHARASHTRA,,17.0,
1213,,"RIVER WAINGANGA AT BALAGHAT,
M.P.","MADHYA
PRADESH",,16.3,
3330,,"RIVER WAINGANGA AT CHHAPARA,
NEAR W/S INTAKE POINT,
JABALPUR","MADHYA
PRADESH",,17.0,
11,,"RIVER WAINGANGA AT
ASHTI,GONDPIPRI, CHANDRAPUR",MAHARASHTRA,,25.0,
1214,,"RIVER WAINGANGA AT
CHINDWARA, M.P.","MADHYA
PRADESH",,15.0,
2172,,"RIVER WAINGANGA D/S OF ELLORA
PAPER MILL, TUMSAR, TUMSAR,
BHANDARA",MAHARASHTRA,,20.0,
2173,,"RIVER WAINGANGA U/S OF
ELLORA PAPER MILL, TUMSAR,
TUMSAR, BHANDARA",MAHARASHTRA,,20.0,
2175,,"RIVER WAINGANGA U/S OF
GAURAV PAPER MILLS, NEAR
JACKWELL, BRAMHPURI,
CHANDRAPUR",MAHARASHTRA,,22.0,
2176,,"RIVER WAINGANGA D/S OF
GAURAV PAPER MILLS, NEAR
JACKWELL, BRAMHPURI,
CHANDRAPUR",MAHARASHTRA,,23.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED UNDER,,,,,
,"E(P) RULES, 1986",,,,,
3331,,"RIVER WAINGANGA AT CHHAPARA,
NEAR ROAD BRIDGE AFTER MIXING
MOTI & CHAMARIYA NALLA,
JABALPUR","MADHYA
PRADESH",,16.9,
4617,,"RIVER WAINGANGA NEAR VILL.
BUDUNDA MALANJKHAND, DISTT
BALAGHAT","MADHYA
PRADESH",,17.7,
30041,,"RIVER WAINGANGA AT BAPERA,
BHANDARA,",MAHARASHTRA,,23.0,
1910,,"RIVER WAINGANGA AFTER
CONLUENCE WITH KANHAN,
AMBHORA, KUHI, NAGPUR",MAHARASHTRA,,17.0,
2697,,"RIVER PENGANGA NEAR WATER
SUPPLY SCHEME OF UMARKHED
MC BELKHED, UMARKHED,
YAVATMAL",MAHARASHTRA,,23.0,
2698,,"RIVER PENGANGA D/S OF ISAPUR
DAM, ISAPUR, PUSAD, YAVATMAL",MAHARASHTRA,,24.0,
2699,,"RIVER PENGANGA AT MEHKAR-
BULDANA ROAD BRIDGE, MEHKAR,
BULDANA",MAHARASHTRA,,25.0,
2719,,"RIVER WARDHA AT D/S OF ERAI
RIVER, HADASTI, CHANDRAPUR,
CHANDRAPUR",MAHARASHTRA,,23.0,
1315,,"RIVER WARDHA AT PULGAON
RAILWAY BRIDGE, PULGAON,
WARDHA, WARDHA",MAHARASHTRA,,16.0,
2720,,"RIVER WARDHA AT U/S OF ERAI
HADASTI, CHANDRAPUR,
CHANDRAPUR",MAHARASHTRA,,22.0,
